Name,Team,Games Played,Games Started,Time On Ice
Morgan Parsons,Bristol Pitbulls NIHL 2,21,20,1177:30
Tim Lyons,Bristol Pitbulls NIHL 2,5,2,126:28
Chris Douglas,Bristol Pitbulls NIHL 2,1,0,20:00
Oliver Thompson,Cardiff Canucks,8,7,440:31
John Dibble,Cardiff Canucks,7,7,431:15
Mackenzie MacNamara,Cardiff Canucks,5,4,216:34
Harry Thomas,Cardiff Canucks,1,1,60:00
Rhys Evans,Cardiff Canucks,1,0,4:24
Gregory Orr,Cardiff Canucks,0,0,0:00
Aleksei Khokhlov,Chelmsford Warriors,15,13,788:14
Kaleb Sheahan,Chelmsford Warriors,11,8,477:56
Elliot Cook,Chelmsford Warriors,0,0,0:00
Jake Stoodley,Guildford Phoenix,11,10,619:02
Oscar Minton,Guildford Phoenix,7,7,420:00
Dmitrijs Volkovs,Guildford Phoenix,7,4,281:02
Dylan Phillips,Haringey Huskies,15,15,903:50
Petr Cech,Haringey Huskies,4,4,240:00
Naomi Healey,Haringey Huskies,2,2,125:00
Shaddai Twumasi,Haringey Huskies,0,0,0:00
Joshua Mroczynski,Haringey Huskies,0,0,0:00
Keiran Wyatt,Invicta Mustangs,12,12,689:38
Heath Prentice,Invicta Mustangs,10,9,588:36
Adam Rodbourne,Invicta Mustangs,0,0,0:00
Lewis Carter,Lee Valley Lions,14,11,687:00
Ethan Frain,Lee Valley Lions,10,10,503:56
Blaise Pearce,Lee Valley Lions,3,0,71:18
Finn Ogden,Lee Valley Lions,0,0,0:00
Aaron Burton,Milton Keynes Thunder,15,15,911:02
Alfie Duguid,Milton Keynes Thunder,7,7,418:17
Danny Kolisek,Milton Keynes Thunder,1,0,9:45
Joe Nolan,Milton Keynes Thunder,1,0,3:12
Kieran Miles,Milton Keynes Thunder,0,0,0:00
Kayla Poole,Oxford Rising Stars,15,12,843:08
Charlie Hanley,Oxford Rising Stars,4,4,215:55
Brett Massey,Oxford Rising Stars,3,3,180:00
Morgan Garside,Oxford Rising Stars,2,2,82:13
Nathan Berman-Moss,Oxford Rising Stars,0,0,0:00
Luke Conley,Oxford Rising Stars,0,0,0:00
Luke Clark,Peterborough Phantoms NIHL 2,12,11,638:40
Ryan Bainborough,Peterborough Phantoms NIHL 2,8,8,448:20
Carl Boyden,Peterborough Phantoms NIHL 2,6,3,209:26
Vincent Graziano,Peterborough Phantoms NIHL 2,1,0,20:00
Ruari McGibbon,Slough Spitfires,17,17,946:50
Conor Dudley,Slough Spitfires,6,3,245:00
Jacob Parsons,Slough Spitfires,3,2,139:27
Tylor Campbell,Solent Junior Devils,18,15,941:38
Greg Blais,Solent Junior Devils,8,6,284:35
Calum Gray,Solent Junior Devils,3,1,38:43
Mike Rogers,Altrincham Aces,13,11,722:31
Bayley Hodkinson,Altrincham Aces,12,12,645:56
Callum Preston,Altrincham Aces,1,1,60:00
Cameron Valentine-Higgs,Altrincham Aces,0,0,0:00
Ryan Wardell,Billingham Buccaneers,12,11,679:47
Chris Outhwaite,Billingham Buccaneers,8,8,432:15
Ronald Pierce,Billingham Buccaneers,7,5,337:39
Jack Mickevicius,Bradford Bulldogs,14,11,729:22
Jake Lowndes,Bradford Bulldogs,15,13,673:51
Jacob Midgley,Bradford Bulldogs,1,0,32:44
Marley Williams,Bradford Bulldogs,0,0,0:00
Hayden Laverick,Coventry NIHL Blaze,23,23,1273:37
Owen Chester,Coventry NIHL Blaze,7,1,175:07
Leo Hyman,Deeside Dragons NIHL 2,17,15,923:52
Finn Ogden,Deeside Dragons NIHL 2,9,8,452:00
Miles Radford,Deeside Dragons NIHL 2,1,0,3:48
Evan Byron-Bates,Kingston Sharks,18,18,926:56
James Adamson,Kingston Sharks,10,6,482:41
Dominic Smith,Kingston Sharks,1,0,30:22
Sasha Bravo,Kingston Sharks,0,0,0:00
James Guest,Nottingham Lions NIHL 2,21,21,1148:11
Isaac Ballinger,Nottingham Lions NIHL 2,2,2,120:00
Kyle Jones,Nottingham Lions NIHL 2,2,0,71:50
Callum Anderson,Nottingham Lions NIHL 2,2,0,42:39
Hayden Oates,Sheffield Titans,15,14,843:08
John Lowe,Sheffield Titans,9,9,521:56
Scarlett Richardson,Sheffield Titans,1,0,15:22
Charlie Henry,Sheffield Titans,0,0,0:00
Nathaniel Bell,Sutton Sting,16,13,771:36
Samantha Bolwell,Sutton Sting,9,9,466:05
Jack Hargreaves,Sutton Sting,6,1,192:34
Lewis King,Sutton Sting,1,1,17:20
Jake Renzi,Sutton Sting,0,0,0:00
