Team,Goalies Registered,Goalies Played
Bristol Pitbulls NIHL 2,3,3
Cardiff Canucks,6,5
Chelmsford Warriors,3,2
Guildford Phoenix,3,3
Haringey Huskies,5,3
Invicta Mustangs,3,2
Lee Valley Lions,4,3
Milton Keynes Thunder,5,4
Oxford Rising Stars,6,4
Peterborough Phantoms NIHL 2,4,4
Slough Spitfires,3,3
Solent Junior Devils,3,3
Altrincham Aces,4,3
Billingham Buccaneers,3,3
Bradford Bulldogs,4,3
Coventry NIHL Blaze,2,2
Deeside Dragons NIHL 2,3,3
Kingston Sharks,4,3
Nottingham Lions NIHL 2,4,4
Sheffield Titans,4,3
Sutton Sting,5,4
